name,nationality,gender,birthdate
Robert Arneson,American,Male,1930
Doroteo Arnaiz,Spanish,Male,1936
Bill Arnold,American,Male,1941
Charles Arnoldi,American,Male,1946
Per Arnoldi,Danish,Male,1941
Danilo Aroldi,Italian,Male,1925
Bill Aron,American,Male,1941
David Aronson,American,Male,1923
Irene Aronson,American,Female,1918
Jean (Hans) Arp,French,Male,1886
Jüri Arrak,Estonian,Male,1936
J. Arrelano Fischer,Mexican,Male,1911
Folke Arstrom,Swedish,Male,1907
Richard Artschwager,American,Male,1923
Ruth Asawa,American,Female,1926
Charles Robert Ashbee,British,Male,1863
Donald Ashcraft,American,Male,1927
E. M. Ashe,American,Male,1867
Erik Gunnar Asplund,Swedish,Male,1885
Geneviève Asse,French,Female,1923
Sergio Asti,Italian,Male,1926
Dana Atchley,American,Female,1941
Alvar Aalto,Finnish,Male,1898
Aino Aalto,Finnish,Female,1894
Eero Aarnio,Finnish,Male,1932
Jules Aarons,American,Male,1921
Magdalena Abakanowicz,Polish,Female,1930
James Abbe,American,Male,1883
Jussuff Abbo,British,Male,1888
Berenice Abbott,American,Female,1898
Nobuya Abe,Japanese,Male,1913
Abe Shiro (pen Name: Suichiku),Japanese,Male,1900
Robert Abel,American,Male,1937
Sigmund Abeles,American,Male,1934
Raimund Abraham,American,Male,1933
Ivor Abrahams,British,Male,1935
Gerald Abramovitz,British,Male,1928
William Ross Abrams,American,Male,1920
Rodolfo Abularach,Guatemalan,Male,1933
Vito Acconci,American,Male,1940
Milton Ackoff,American,Male,1915
Luis Alberto Acuña,Colombian,Male,1904
Henri Georges Adam,French,Male,1904
Antoine Samuel Adam-Salomon,French,Male,1818
Valerio Adami,Italian,Male,1935
Ansel Adams,American,Male,1902
Alice Adams,American,Female,1930
Clinton Adams,American,Male,1918
Dacres Adams,British,Male,1864
Dennis Adams,American,Male,1948
Kenneth M. Adams,American,Male,1897
Robert Adams,American,Male,1937
Shelby Lee Adams,American,Female,1950
Charles Addams,American,Male,1912
Allan Adler,American,Male,1916
Jankel Adler,Polish,Male,1895
Virginia Admiral,American,Female,1915
Pic Adrian,Romanian,Male,1910
Roy Adzak,British,Male,1927
Nicholas Africano,American,Male,1948
Afro (Afro Basaldella),Italian,Male,1912
Agam (Yaacov Agam),Israeli,Male,1928
Mehemed Fehmy Agha,American,Male,1896
Kathleen Agnoli,American,Female,1945
Peter Agostini,American,Male,1913
Olympe Aguado de las Marismas,French,Male,1827
Dongkuk S. Ahn,American,Male,1937
Aarne Aho,Finnish,Male,1904
Otl Aicher (also known as Otto Aicher),German,Male,1922
Lucien Aigner,American,Male,1901
Gregory Ain,American,Male,1908
Edgar Ainsworth,British,Male,1906
Roberto Aizenberg,Argentine,Male,1928
Kinji Akagawa,Japanese,Male,1940
Ryoji Akiyama,Japanese,Male,1942
Munira Al-Kazi,Kuwaiti,Female,1939
Alastair (Hans H. Voight),German,Male,1887
Anni Albers,American,Female,1899
Josef Albers,American,Male,1888
Joan Albert,American,Female,1943
Ivan Le Lorraine Albright,American,Male,1897
Albert Alcalay,American,Male,1917
L. (Alfred Lewin Copley) Alcopley,American,Male,1910
Alan Aldridge,British,Male,1943
Pierre Alechinsky,Belgian,Male,1927
Peter Alexander,American,Male,1939
José R. Alicea,American,Male,1928
James Alinder,American,Male,1941
Yves Alix,French,Male,1890
Wobbe Alkema,Dutch,Male,1900
William Allan,American,Male,1936
Alexander Alland,American,Male,1902
Harry Allen,American,Male,1964
Terry Allen,American,Male,1943
Adrian Allinson,British,Male,1890
Carlos Alonso,Argentine,Male,1929
Glen Alps,American,Male,1914
Henry Altchek,American,Male,1943
Gerhard Altenbourg,German,Male,1926
Hobie Alter,American,Male,1933
Harold Altman,American,Male,1924
Giacchino Altobelli,Italian,Male,1814
John Altoon,American,Male,1925
Manuel Álvarez Bravo,Mexican,Male,1902
Dag Alveng,Norwegian,Male,1953
Getulio Alviani,Italian,Male,1939
Edmond-François Aman Jean,French,Male,1858
Jim Amaral,American,Male,1933
Emilio Ambasz,Argentine,Male,1943
Irving Amen,American,Male,1918
Woody van Amen,Dutch,Male,1936
Gregory Amenoff,American,Male,1948
Florencia de Amesti,Chilean,Female,1925
Cuno Amiet,Swiss,Male,1868
Francisco Amighetti Ruiz,Costa Rican,Male,1907
Emma Amos,American,Female,1938
William Anastasi,American,Male,1933
Stephen Ancona,American,Male,1932
Jiþi Anderle,Czech,Male,1936
Gunnar Aagaard Andersen,Danish,Male,1919
Karin Schou Andersen,Danish,Female,1953
Clarence William Anderson,American,Male,1891
Carl Anderson,American,Male,1903
Jeremy Anderson,American,Male,1921
James Anderson,British,Male,1813
Jerry Anderson,American,Male,1938
John Anderson,British,Male,1928
Neil Anderson,American,Male,1933
Paul L. Anderson,American,Male,1880
Monika Andersson,Swedish,Female,1957
Joe Andoe,American,Male,1955
Farnese de Andrade-Neto,Brazilian,Male,1926
Carl Andre,American,Male,1935
Pat Andrea,Dutch,Male,1942
Henning Andreasen,Danish,Male,1923
Laura Andreson,American,Female,1902
Mariano Andreù,Spanish,Male,1901
Benny Andrews,American,Male,1930
Emmy Andriesse,Dutch,Female,1914
Claudia Andujar,American,Female,1931
Manuel Angeles Ortiz,Spanish,Male,1895
Ludwig Angerer,Austrian,Male,1827
Raúl Anguiano,Mexican,Male,1915
Sibyl Anikeef,American,Female,1896
James Craig Annan,British,Male,1864
Thomas Annan,British,Male,1829
David Annesley,British,Male,1936
Horst Antes,German,Male,1936
William Anthony,American,Male,1934
Stephen Antonakos,American,Male,1926
Garo Antreasian,American,Male,1922
Nemesio Antúnez,Chilean,Male,1918
