UNIVERSITY OF RHODE ISLAND,184961,NSF
BLUE MARBLE SPACE,24460,NASA
KENNESAW STATE UNIVERSITY RESEARCH AND SERVICE FOUNDATION,103041,NSF
UNIVERSITY OF TEXAS AT AUSTIN,10000,NSF
TEACHERS COLLEGE  COLUMBIA UNIVERSITY,548676,NSF
UNIVERSITY OF TEXAS AT DALLAS,247866.08,NSF
PRESIDENT AND BOARD OF TRUSTEES OF SANTA CLARA COLLEGE,407821,NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION,500096,NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,361891,NSF
SOUTHERN METHODIST UNIVERSITY INC,22140.64,NSF
RENSSELAER POLYTECHNIC INSTITUTE,10000,NSF
UNIVERSITY OF CALIFORNIA  SAN DIEGO,741522,NSF
TRUSTEES OF PRINCETON UNIVERSITY  THE,3078369,NSF
WHATCOM COMMUNITY COLLEGE,589750.7,NSF
SAINT LOUIS UNIVERSITY,10000,NASA
NORTH CAROLINA STATE UNIVERSITY,141243,NSF
TEXAS TECH UNIVERSITY SYSTEM,50000,NSF
UNIVERSITY OF CONNECTICUT,50000,NSF
21ST CENTURY PARTNERSHIP FOR STEM EDUCATION  THE,428763,NSF
UNIVERSITY OF ARIZONA,261504,NSF
UNIVERSITY OF CALIFORNIA  SAN DIEGO,12000000,NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,469165,NSF
NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION  INC.,109884,NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,666412,NSF
WASHINGTON UNIVERSITY  THE,250000,NSF
UNIVERSITY OF CALIFORNIA  SAN DIEGO,828748,NSF
UNIVERSITY OF ARKANSAS SYSTEM,370586,NSF
TRUSTEES OF INDIANA UNIVERSITY,407022,NSF
REGENTS OF THE UNIVERSITY OF COLORADO  THE,17321.88,NSF
