lat,lon,alt,date,device,os,version
40.7622184753,-73.988067627,39,2012-01-28 23:40:48,"iPhone3,3",5.0.1,1.0
40.7625961304,-73.9886779785,23,2012-01-28 23:42:56,"iPhone3,3",5.0.1,1.0
40.7537117004,-73.9740219116,165,2012-01-29 02:01:36,"iPhone3,3",5.0.1,1.0
40.7443275452,-73.9504241943,165,2012-01-29 02:14:24,"iPhone3,3",5.0.1,1.0
40.7303161621,-73.9533996582,21,2012-01-29 02:29:20,"iPhone3,3",5.0.1,1.0
40.7339820862,-73.9589004517,22.4013748169,2012-01-29 03:16:16,"iPhone3,3",5.0.1,1.0
40.7343139648,-73.9463577271,15.6164884567,2012-01-29 14:36:48,"iPhone3,3",5.0.1,1.0
40.7302246094,-73.954246521,25.5093231201,2012-01-29 14:53:52,"iPhone3,3",5.0.1,1.0
40.7367286682,-73.9626541138,18.0055294037,2012-01-29 15:10:56,"iPhone3,3",5.0.1,1.0
40.7343215942,-73.9568634033,17.9159812927,2012-01-29 16:44:48,"iPhone3,3",5.0.1,1.0
40.7344474792,-73.9735794067,13.0011529922,2012-01-29 17:18:56,"iPhone3,3",5.0.1,1.0
40.7283935547,-73.9933776855,41.0085220337,2012-01-29 17:29:36,"iPhone3,3",5.0.1,1.0
40.7295379639,-73.9939346313,50.8065605164,2012-01-29 18:37:52,"iPhone3,3",5.0.1,1.0
40.7295646667,-73.9939956665,45.6896133423,2012-01-29 21:00:48,"iPhone3,3",5.0.1,1.0
40.7335662842,-73.9878005981,48.0995750427,2012-01-29 23:51:28,"iPhone3,3",5.0.1,1.0
40.7335891724,-73.9877243042,42.0093154907,2012-01-30 00:00:00,"iPhone3,3",5.0.1,1.0
40.7308807373,-73.9581375122,42.0093154907,2012-01-30 00:34:08,"iPhone3,3",5.0.1,1.0
40.7394981384,-73.9665908813,19,2012-01-30 03:07:44,"iPhone3,3",5.0.1,1.0
40.7338981628,-73.9588775635,43,2012-01-30 03:52:32,"iPhone3,3",5.0.1,1.0
40.7389068604,-73.9700393677,47,2012-01-30 05:45:36,"iPhone3,3",5.0.1,1.0
40.733997345,-73.9588241577,22,2012-01-30 06:00:32,"iPhone3,3",5.0.1,1.0
40.7216796875,-73.953163147,15.385427475,2012-01-30 13:09:20,"iPhone3,3",5.0.1,1.0
40.7236442566,-73.9675598145,15.385427475,2012-01-30 13:30:40,"iPhone3,3",5.0.1,1.0
40.7275924683,-73.9951477051,35.6637535095,2012-01-30 13:39:12,"iPhone3,3",5.0.1,1.0
40.7291793823,-73.988861084,35.5602607727,2012-01-31 03:22:40,"iPhone3,3",5.0.1,1.0
40.7297058105,-73.9723892212,28.0528240204,2012-01-31 04:48:00,"iPhone3,3",5.0.1,1.0
40.7361755371,-73.9600982666,14.0574769974,2012-01-31 05:07:12,"iPhone3,3",5.0.1,1.0
40.7339744568,-73.9548797607,22,2012-01-31 13:28:32,"iPhone3,3",5.0.1,1.0
40.7329521179,-73.9678192139,24.9997787476,2012-01-31 14:02:40,"iPhone3,3",5.0.1,1.0
40.7297706604,-73.9934616089,44.7618141174,2012-01-31 14:09:04,"iPhone3,3",5.0.1,1.0
40.7324371338,-73.9546890259,35.4929885864,2012-02-01 04:33:04,"iPhone3,3",5.0.1,1.0
40.7373123169,-73.9738540649,23.5476322174,2012-02-01 04:48:00,"iPhone3,3",5.0.1,1.0
40.7341880798,-73.9598999023,87,2012-02-01 05:02:56,"iPhone3,3",5.0.1,1.0
40.7293167114,-73.9935913086,23.5438766479,2012-02-01 17:08:16,"iPhone3,3",5.0.1,1.0
40.7321395874,-73.9568481445,41.9230766296,2012-02-02 05:56:16,"iPhone3,3",5.0.1,1.0
40.7395248413,-73.9666213989,18.125,2012-02-02 15:02:24,"iPhone3,3",5.0.1,1.0
40.7340164185,-73.959022522,12,2012-02-02 15:30:08,"iPhone3,3",5.0.1,1.0
40.731628418,-73.9462585449,16.0231266022,2012-02-02 16:00:00,"iPhone3,3",5.0.1,1.0
40.756187439,-73.9699478149,56.8566856384,2012-02-02 16:29:52,"iPhone3,3",5.0.1,1.0
40.7520065308,-73.9754333496,65.5448760986,2012-02-02 16:38:24,"iPhone3,3",5.0.1,1.0
40.7439308167,-73.9835968018,52.1575050354,2012-02-02 16:57:36,"iPhone3,3",5.0.1,1.0
40.7284469604,-73.992980957,43.7431869507,2012-02-02 17:04:00,"iPhone3,3",5.0.1,1.0
40.7393684387,-73.9895782471,40.75,2012-02-02 17:59:28,"iPhone3,3",5.0.1,1.0
40.752204895,-73.984336853,40.75,2012-02-02 18:05:52,"iPhone3,3",5.0.1,1.0
40.7433395386,-73.9878387451,68.2350006104,2012-02-02 20:22:24,"iPhone3,3",5.0.1,1.0
40.7294197083,-73.9928665161,50.0079841614,2012-02-02 20:28:48,"iPhone3,3",5.0.1,1.0
40.7275009155,-73.9982376099,30.4458255768,2012-02-02 23:51:28,"iPhone3,3",5.0.1,1.0
40.7309570312,-73.9888305664,43.8383827209,2012-02-03 03:33:20,"iPhone3,3",5.0.1,1.0
40.7323226929,-73.9552078247,34.8240737915,2012-02-03 05:43:28,"iPhone3,3",5.0.1,1.0
40.7292785645,-73.9934921265,44,2012-02-03 13:45:36,"iPhone3,3",5.0.1,1.0
40.7300224304,-73.9784240723,49.090057373,2012-02-03 20:26:40,"iPhone3,3",5.0.1,1.0
40.7340431213,-73.9589080811,17.5578098297,2012-02-03 20:30:56,"iPhone3,3",5.0.1,1.0
40.7388305664,-73.9656677246,19.25,2012-02-03 22:38:56,"iPhone3,3",5.0.1,1.0
40.7339744568,-73.9588851929,19.125,2012-02-03 23:17:20,"iPhone3,3",5.0.1,1.0
40.7237892151,-73.9560546875,19.4514827728,2012-02-04 02:44:16,"iPhone3,3",5.0.1,1.0
40.72838974,-73.9573669434,17.4634857178,2012-02-04 06:24:00,"iPhone3,3",5.0.1,1.0
40.7341194153,-73.9582214355,10.0016775131,2012-02-04 06:28:16,"iPhone3,3",5.0.1,1.0
40.7350502014,-73.9896240234,21.3125,2012-02-04 17:59:28,"iPhone3,3",5.0.1,1.0
40.7304039001,-73.9926834106,44.3654785156,2012-02-04 18:03:44,"iPhone3,3",5.0.1,1.0
40.7452583313,-73.9870986938,42.4207611084,2012-02-05 00:38:24,"iPhone3,3",5.0.1,1.0
40.7554130554,-73.9842376709,69.7934951782,2012-02-05 00:42:40,"iPhone3,3",5.0.1,1.0
40.7339363098,-73.9587783813,19.3333339691,2012-02-05 14:28:16,"iPhone3,3",5.0.1,1.0
40.7369499207,-73.9451370239,18.8333339691,2012-02-05 14:49:36,"iPhone3,3",5.0.1,1.0
40.7334060669,-73.9548568726,22.6974258423,2012-02-05 15:00:16,"iPhone3,3",5.0.1,1.0
40.7234344482,-73.9594573975,20.5665416718,2012-02-05 15:40:48,"iPhone3,3",5.0.1,1.0
40.7511940002,-73.9444503784,20.5665416718,2012-02-05 15:47:12,"iPhone3,3",5.0.1,1.0
40.7582244873,-73.9680480957,20.5665416718,2012-02-05 15:53:36,"iPhone3,3",5.0.1,1.0
40.7510528564,-73.9782867432,20.5665416718,2012-02-05 16:04:16,"iPhone3,3",5.0.1,1.0
40.732673645,-73.9913482666,20.5665416718,2012-02-05 16:10:40,"iPhone3,3",5.0.1,1.0
40.723575592,-73.9945373535,44.9166679382,2012-02-05 17:01:52,"iPhone3,3",5.0.1,1.0
40.7299003601,-73.9934539795,43.1665382385,2012-02-05 17:14:40,"iPhone3,3",5.0.1,1.0
40.7258033752,-73.9746856689,44.6041870117,2012-02-06 03:03:28,"iPhone3,3",5.0.1,1.0
40.733669281,-73.9581985474,19.5093688965,2012-02-06 03:09:52,"iPhone3,3",5.0.1,1.0
40.7343254089,-73.973236084,21.5499992371,2012-02-06 15:30:08,"iPhone3,3",5.0.1,1.0
40.7302818298,-73.9922332764,36.5482368469,2012-02-06 15:34:24,"iPhone3,3",5.0.1,1.0
40.7271957397,-73.996673584,40.5730361938,2012-02-07 00:46:56,"iPhone3,3",5.0.1,1.0
40.7318153381,-73.9529495239,46.2307701111,2012-02-07 04:30:56,"iPhone3,3",5.0.1,1.0
40.7392272949,-73.9662094116,18.2043743134,2012-02-07 04:43:44,"iPhone3,3",5.0.1,1.0
40.7342338562,-73.9582519531,18.4444446564,2012-02-07 13:52:00,"iPhone3,3",5.0.1,1.0
